station,station_name,check,panel_name,cls,category,kind,station_card,instruction,question,buttons,runner_measures,not_run_reason
1,Left switch panel,43,MONO AUX button,panel switch,manual,loop,"What you need in hand: a finger and an eye, at the left half of the front panel. 12 check(s) at this station.",Press the button that is lit: MONO AUX.,,notlit,the key code that comes back is MONO AUX's,
1,Left switch panel,44,MONO AUX button LEDs (white pair),panel LED,manual,loop,"What you need in hand: a finger and an eye, at the left half of the front panel. 12 check(s) at this station.","The white pair is lit under MONO AUX; press that button. If nothing lit, press NOT LIT.",,notlit,the operator pressed the button under the lit indicator,
1,Left switch panel,45,STEREO AUX button,panel switch,manual,loop,"What you need in hand: a finger and an eye, at the left half of the front panel. 12 check(s) at this station.",Press the button that is lit: STEREO AUX.,,notlit,the key code that comes back is STEREO AUX's,
1,Left switch panel,46,STEREO AUX button LEDs (white pair),panel LED,manual,loop,"What you need in hand: a finger and an eye, at the left half of the front panel. 12 check(s) at this station.","The white pair is lit under STEREO AUX; press that button. If nothing lit, press NOT LIT.",,notlit,the operator pressed the button under the lit indicator,
1,Left switch panel,47,FX button,panel switch,manual,loop,"What you need in hand: a finger and an eye, at the left half of the front panel. 12 check(s) at this station.",Press the button that is lit: FX.,,notlit,the key code that comes back is FX's,
1,Left switch panel,48,FX button LEDs (white pair),panel LED,manual,loop,"What you need in hand: a finger and an eye, at the left half of the front panel. 12 check(s) at this station.","The white pair is lit under FX; press that button. If nothing lit, press NOT LIT.",,notlit,the operator pressed the button under the lit indicator,
1,Left switch panel,49,EQ button,panel switch,manual,loop,"What you need in hand: a finger and an eye, at the left half of the front panel. 12 check(s) at this station.",Press the button that is lit: EQ.,,notlit,the key code that comes back is EQ's,
1,Left switch panel,50,EQ button LEDs (white pair),panel LED,manual,loop,"What you need in hand: a finger and an eye, at the left half of the front panel. 12 check(s) at this station.","The white pair is lit under EQ; press that button. If nothing lit, press NOT LIT.",,notlit,the operator pressed the button under the lit indicator,
1,Left switch panel,51,AUX ON FADERS button,panel switch,manual,loop,"What you need in hand: a finger and an eye, at the left half of the front panel. 12 check(s) at this station.",Press the button that is lit: AUX ON FADERS.,,notlit,the key code that comes back is AUX ON FADERS's,
1,Left switch panel,52,AUX ON FADERS button LEDs (white pair),panel LED,manual,loop,"What you need in hand: a finger and an eye, at the left half of the front panel. 12 check(s) at this station.","The white pair is lit under AUX ON FADERS; press that button. If nothing lit, press NOT LIT.",,notlit,the operator pressed the button under the lit indicator,
1,Left switch panel,53,OVERVIEW button,panel switch,manual,loop,"What you need in hand: a finger and an eye, at the left half of the front panel. 12 check(s) at this station.",Press the button that is lit: OVERVIEW.,,notlit,the key code that comes back is OVERVIEW's,
1,Left switch panel,54,OVERVIEW button LEDs (white pair),panel LED,manual,loop,"What you need in hand: a finger and an eye, at the left half of the front panel. 12 check(s) at this station.","The white pair is lit under OVERVIEW; press that button. If nothing lit, press NOT LIT.",,notlit,the operator pressed the button under the lit indicator,
1,Left switch panel,55,BOOT0 indicator LED,panel LED,not-run,blocked,"What you need in hand: a finger and an eye, at the left half of the front panel. 12 check(s) at this station.",,,,,"the red indicator is driven by the processor boot pin, not by the processor, so nothing the host writes can light it"
1,Left switch panel,58,Pedal UART through-path,panel control,not-run,blocked,"What you need in hand: a finger and an eye, at the left half of the front panel. 12 check(s) at this station.",,,,,"the pedal path through this panel needs the pedal and its lead, which is the foot pedal station"
2,Right switch panel,59,FX MUTE button,panel switch,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.",Press the button that is lit: FX MUTE.,,notlit,the key code that comes back is FX MUTE's,
2,Right switch panel,60,FX MUTE button LEDs (white pair),panel LED,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.",Look at the white ring around FX MUTE and the white ring around REC/PLY.,Are both lit?,yes/no,,
2,Right switch panel,61,FX MUTE red LEDs,panel LED,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.","The red ring is lit under FX MUTE; press that button. If nothing lit, press NOT LIT.",,notlit,the operator pressed the button under the lit indicator,
2,Right switch panel,62,HOME button,panel switch,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.",Press the button that is lit: HOME.,,notlit,the key code that comes back is HOME's,
2,Right switch panel,63,HOME button LEDs (white pair),panel LED,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.","The white ring is lit under HOME; press that button. If nothing lit, press NOT LIT.",,notlit,the operator pressed the button under the lit indicator,
2,Right switch panel,64,MENU button,panel switch,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.",Press the button that is lit: MENU.,,notlit,the key code that comes back is MENU's,
2,Right switch panel,65,MENU button LEDs (white pair),panel LED,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.","The white ring is lit under MENU; press that button. If nothing lit, press NOT LIT.",,notlit,the operator pressed the button under the lit indicator,
2,Right switch panel,66,+48 button,panel switch,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.",Press the button that is lit: +48.,,notlit,the key code that comes back is +48's,
2,Right switch panel,67,+48 button LEDs (white pair),panel LED,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.","The white ring is lit under +48; press that button. If nothing lit, press NOT LIT.",,notlit,the operator pressed the button under the lit indicator,
2,Right switch panel,68,FEEDBACK button,panel switch,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.",Press the button that is lit: FEEDBACK.,,notlit,the key code that comes back is FEEDBACK's,
2,Right switch panel,69,FEEDBACK button LEDs (white pair),panel LED,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.","The white ring is lit under FEEDBACK; press that button. If nothing lit, press NOT LIT.",,notlit,the operator pressed the button under the lit indicator,
2,Right switch panel,70,MUTE button,panel switch,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.",Press the button that is lit: MUTE.,,notlit,the key code that comes back is MUTE's,
2,Right switch panel,71,MUTE button LEDs (white pair),panel LED,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.","The white ring is lit under MUTE; press that button. If nothing lit, press NOT LIT.",,notlit,the operator pressed the button under the lit indicator,
2,Right switch panel,72,SCENE button,panel switch,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.",Press the button that is lit: SCENE.,,notlit,the key code that comes back is SCENE's,
2,Right switch panel,73,SCENE button LEDs (white pair),panel LED,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.","The white ring is lit under SCENE; press that button. If nothing lit, press NOT LIT.",,notlit,the operator pressed the button under the lit indicator,
2,Right switch panel,74,L button,panel switch,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.",Press the button that is lit: L.,,notlit,the key code that comes back is L's,
2,Right switch panel,75,L button LEDs (white pair),panel LED,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.","The white ring is lit under L; press that button. If nothing lit, press NOT LIT.",,notlit,the operator pressed the button under the lit indicator,
2,Right switch panel,76,C button,panel switch,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.",Press the button that is lit: C.,,notlit,the key code that comes back is C's,
2,Right switch panel,77,C button LEDs (white pair),panel LED,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.","The white ring is lit under C; press that button. If nothing lit, press NOT LIT.",,notlit,the operator pressed the button under the lit indicator,
2,Right switch panel,78,C red LED,panel LED,not-run,blocked,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.",,,,,no indicator is declared for this designator: the firmware table gives the C button one indicator pair and the loop grades it on row 77
2,Right switch panel,79,CH ASSIGN button,panel switch,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.",Press the button that is lit: CH ASSIGN.,,notlit,the key code that comes back is CH ASSIGN's,
2,Right switch panel,80,CH ASSIGN button LEDs (white pair),panel LED,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.","The white ring is lit under CH ASSIGN; press that button. If nothing lit, press NOT LIT.",,notlit,the operator pressed the button under the lit indicator,
2,Right switch panel,81,R button,panel switch,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.",Press the button that is lit: R.,,notlit,the key code that comes back is R's,
2,Right switch panel,82,R button LEDs (white pair),panel LED,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.","The white ring is lit under R; press that button. If nothing lit, press NOT LIT.",,notlit,the operator pressed the button under the lit indicator,
2,Right switch panel,83,MONITOR button,panel switch,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.",Press the button that is lit: MONITOR.,,notlit,the key code that comes back is MONITOR's,
2,Right switch panel,84,MONITOR button LEDs (white pair),panel LED,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.","The white ring is lit under MONITOR; press that button. If nothing lit, press NOT LIT.",,notlit,the operator pressed the button under the lit indicator,
2,Right switch panel,85,REC/PLY button,panel switch,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.",Press the button that is lit: REC/PLY.,,notlit,the key code that comes back is REC/PLY's,
2,Right switch panel,86,REC/PLY button LEDs (white pair),panel LED,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.",Look at the white ring around FX MUTE and the white ring around REC/PLY.,Are both lit?,yes/no,,
2,Right switch panel,87,REC/PLY red LEDs,panel LED,manual,loop,"What you need in hand: a finger and an eye, at the right half of the front panel. 32 check(s) at this station.","The red ring is lit under REC/PLY; press that button. If nothing lit, press NOT LIT.",,notlit,the operator pressed the button under the lit indicator,
