# d24/dsp-unmapped.csv — defined cells with NO DSP address.
#
# GENERATED alongside dsp.csv by MW/D32/DSP/gen_dsp.py. The companion
# to it: dsp.csv says where a cell lives, this says why it lives
# nowhere. A family in neither file stops the generator.
#
# Class:  host-managed | mcu-only | label | surface-state |
#         hardware-control | control-plane | no-graph-node |
#         unbacked-meter | s1-2-no-behaviour
#
# no-graph-node is the list that costs work: a DSP function this
# product defines and the graph does not build.
#
_Cell,Class,Reason
Aux001Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux001DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux001Name001,label,"text label; the host stores it, the DSP has no word for it"
Aux001PickOff001,no-graph-node,aux-master send pickoff; the DSP pickoff is per crosspoint (Chan*AuxPick*) and there is no aux-master word — open question Q4
Aux002Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux002DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux002Name001,label,"text label; the host stores it, the DSP has no word for it"
Aux002PickOff001,no-graph-node,aux-master send pickoff; the DSP pickoff is per crosspoint (Chan*AuxPick*) and there is no aux-master word — open question Q4
Aux003Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux003DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux003Name001,label,"text label; the host stores it, the DSP has no word for it"
Aux003PickOff001,no-graph-node,aux-master send pickoff; the DSP pickoff is per crosspoint (Chan*AuxPick*) and there is no aux-master word — open question Q4
Aux004Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux004DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux004Name001,label,"text label; the host stores it, the DSP has no word for it"
Aux004PickOff001,no-graph-node,aux-master send pickoff; the DSP pickoff is per crosspoint (Chan*AuxPick*) and there is no aux-master word — open question Q4
