cell,family,wire_max,scale_law,dsp_page,dsp_addr,unit,kernel_expects,note
Aux[1-8]Mtr[1-1],Chan_Mtr,,,,,dBFS readback,Q4.28 fixed via float mirror,meter cells are device->host readback
Chan[1-24]Mtr[1-2],Chan_Mtr,,,,,dBFS readback,Q4.28 fixed via float mirror,meter cells are device->host readback
Chan[1-24]CompMtr[1-1],Chan_Mtr,,,,,dBFS readback,Q4.28 fixed via float mirror,meter cells are device->host readback
Chan[1-24]GateMtr[1-1],Chan_Mtr,,,,,dBFS readback,Q4.28 fixed via float mirror,meter cells are device->host readback
Fx[1-6]Mtr[1-1],Chan_Mtr,,,,,dBFS readback,Q4.28 fixed via float mirror,meter cells are device->host readback
Grp[1-4]Mtr[1-1],Chan_Mtr,,,,,dBFS readback,Q4.28 fixed via float mirror,meter cells are device->host readback
MainL[1-1]CompAtt[1-1],MainComp,,0=0/254=250/[Log],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainL[1-1]CompKnee[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainL[1-1]CompMake[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainL[1-1]CompOn[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainL[1-1]CompPar[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainL[1-1]CompRat[1-1],MainComp,,0=1/127=30/[Log],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainL[1-1]CompRel[1-1],MainComp,,0=5/254=5000/[Log],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainL[1-1]CompDetSrc[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainL[1-1]CompEqPos[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainL[1-1]CompFilterHpf[1-1],MainComp,32,0=20/64=1000/[Log],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainL[1-1]CompFilterLpf[1-1],MainComp,127,0=500/127=20000/[Log],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainL[1-1]CompFilterOn[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainL[1-1]CompFilterQ[1-1],MainComp,7,0=0.1/14=10/[Log],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainL[1-1]CompKey[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
