# d12/dsp.csv — PROPOSED DSP address map for D12.
#
# GENERATED by MW/D32/DSP/gen_dsp.py in the invirco/dsp repo from the
# DSP4 node graph (MW/D32/DSP/SHARC/dsp.csv). Do not hand-edit: an
# address typed here is an address no kernel answers on.
#
# Proposed by dsp, landed by the hub at the gate (PW ruling
# 2026-09-08 #5). defs-v* pin: defs-v2026.09.08.4.
#
# ONE ADDRESS MAP FOR THE WHOLE RANGE (decision D3): the superset
# graph is expanded once and this file is the intersection of that
# expansion with this product's cell set, so a cell two products
# share has the same chip, page and address in both files.
#
# 1777 of 2321 defined cells reach a DSP address.
# The other 544 are named in dsp-unmapped.csv with the
# reason — every defined cell is in exactly one of the two files.
#
# Columns:
#   _Cell        cell name, as spelled by defs/gen/matrix/<p>-mx-master.csv
#   Node         graph node that owns the address (MW/D32/DSP/SHARC/dsp.csv id)
#   NodeType     that node's type
#   DspSpi       DSP the cell lives on: 1 = DSPA (chip 1), 2 = DSPB (chip 2)
#   DspPage      SPI page
#   DspAdd       SPI word address within the page, decimal
#   DspAddHex    the same address, 0xNNNN
#   Access       rw = host writes it | ro = DSP writes it, host polls | mcu = the word carries no DSP symbol (MCU/host hardware control)
#   RampProfile  named ramp preset, or empty for an un-ramped word
#   RampMode     Instant | Slew | LinearFrames
#   RampUpMs     ramp-up time, ms
#   RampDownMs   ramp-down time, ms
#   RampCurve    Linear | Exp
#   RampScope    Scalar = one word ramps on its own | CoeffSetAtomic = the whole coefficient set swaps together
#   Table        host scaling table for the control range, where one applies
#   Notes        what the word is
_Cell,Node,NodeType,DspSpi,DspPage,DspAdd,DspAddHex,Access,RampProfile,RampMode,RampUpMs,RampDownMs,RampCurve,RampScope,Table,Notes
Aux001AntiFbCtrlOn001,C2_AUX_AFB_01,ANTI_FB,2,1,60,0x003C,rw,InstantCtl,Instant,0,0,Linear,Scalar,,
Aux001AntiFbNotchFreq001,C2_AUX_AFB_01,ANTI_FB,2,1,61,0x003D,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=40/127=12000/[Log],
Aux001AntiFbNotchFreq002,C2_AUX_AFB_01,ANTI_FB,2,1,62,0x003E,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=40/127=12000/[Log],
Aux001AntiFbNotchFreq003,C2_AUX_AFB_01,ANTI_FB,2,1,63,0x003F,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=40/127=12000/[Log],
Aux001AntiFbNotchFreq004,C2_AUX_AFB_01,ANTI_FB,2,1,64,0x0040,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=40/127=12000/[Log],
Aux001AntiFbNotchGain001,C2_AUX_AFB_01,ANTI_FB,2,1,67,0x0043,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=-18/127=0/[Lin],
Aux001AntiFbNotchGain002,C2_AUX_AFB_01,ANTI_FB,2,1,68,0x0044,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=-18/127=0/[Lin],
Aux001AntiFbNotchGain003,C2_AUX_AFB_01,ANTI_FB,2,1,69,0x0045,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=-18/127=0/[Lin],
Aux001AntiFbNotchGain004,C2_AUX_AFB_01,ANTI_FB,2,1,70,0x0046,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=-18/127=0/[Lin],
Aux001AntiFbNotchQ001,C2_AUX_AFB_01,ANTI_FB,2,1,73,0x0049,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=1/127=20/[Log],
Aux001AntiFbNotchQ002,C2_AUX_AFB_01,ANTI_FB,2,1,74,0x004A,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=1/127=20/[Log],
Aux001AntiFbNotchQ003,C2_AUX_AFB_01,ANTI_FB,2,1,75,0x004B,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=1/127=20/[Log],
Aux001AntiFbNotchQ004,C2_AUX_AFB_01,ANTI_FB,2,1,76,0x004C,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=1/127=20/[Log],
Aux001AntiFbOn001,C2_AUX_AFB_01,ANTI_FB,2,1,59,0x003B,rw,InstantCtl,Instant,0,0,Linear,Scalar,,
Aux001Delay001,C2_AUX_DLY_01,DELAY,2,1,87,0x0057,rw,InstantCtl,Instant,0,0,Linear,Scalar,0=0/127=250.0/[Log],
Aux001EqFreq001,C2_AUX_EQ_01,EQ_BIQUAD,2,1,4,0x0004,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=20/254=200/[Log],Band 1 coeff base
Aux001EqFreq002,C2_AUX_EQ_01,EQ_BIQUAD,2,1,9,0x0009,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=100/254=1000/[Log],Band 2 coeff base
Aux001EqFreq003,C2_AUX_EQ_01,EQ_BIQUAD,2,1,14,0x000E,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=800/254=5000/[Log],Band 3 coeff base
Aux001EqFreq004,C2_AUX_EQ_01,EQ_BIQUAD,2,1,19,0x0013,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=3000/254=20000/[Log],Band 4 coeff base
Aux001EqGain001,C2_AUX_EQ_01,EQ_BIQUAD,2,1,4,0x0004,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-15/60=15/[Lin],Band 1 (same base)
Aux001EqGain002,C2_AUX_EQ_01,EQ_BIQUAD,2,1,9,0x0009,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-15/60=15/[Lin],Band 2 (same base)
Aux001EqGain003,C2_AUX_EQ_01,EQ_BIQUAD,2,1,14,0x000E,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-15/60=15/[Lin],Band 3 (same base)
Aux001EqGain004,C2_AUX_EQ_01,EQ_BIQUAD,2,1,19,0x0013,rw,EqSafe,LinearFrames,12,12,Linear,CoeffSetAtomic,0=-15/60=15/[Lin],Band 4 (same base)
